taxonID	acceptedNameUsageID	scientificName	nameAccordingTo	namePublishedInYear	namePublishedIn	taxonRank	taxonomicStatus	nomenclaturalStatus	kingdom	phylum	class	order	family	dc:references	taxonRemarks
1		Hydraena truncata Rey, 1885	ITIS			species	accepted		Animalia	Arthropoda	Insecta	Coleoptera	Hydraenidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=815716	Provisionally added until it becomes available via ITIS or FaunaEuropaea
2		Amastra affinis (Newcomb, 1854)	BishopMuseum			species	accepted		Animalia	Mollusca			Amastridae	http://nsdb.bishopmuseum.org/?w=BPBM&explst=tr&cols=10&rpp=1000&pge=1&id=1519640147	
3	2	Achatinella goniostoma	BishopMuseum			species	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
4	2	Achatinella pupoidea	BishopMuseum			species	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
5	2	Amastra abberans	BishopMuseum			species	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
6	2	Amastra affinis subsp. subpulla	BishopMuseum			subspecies	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
7	2	Amastra affinis var. bigener	BishopMuseum			variety	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
8	2	Amastra affinis var. cinderella	BishopMuseum			variety	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
9	2	Amastra bigener var. abberans	BishopMuseum			variety	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
10	2	Amastra bigener	BishopMuseum			species	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
12	2	Amastra cinderella	BishopMuseum			species	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
13	2	Amastra goniostoma	BishopMuseum			species	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
14	2	Amastra pupoidea	BishopMuseum			species	junior synonym								following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
